256, 8, 0.0039376330
231, 8, 0.0038068140
206, 8, 0.0032893300
181, 8, 0.0027876220
156, 8, 0.0022281620
131, 8, 0.0020036800
106, 8, 0.0016213060
81, 8, 0.0011143870
56, 8, 0.0008245700
31, 8, 0.0003889240
256, 7, 0.0038902370
231, 7, 0.0034647060
206, 7, 0.0032820530
181, 7, 0.0027070870
156, 7, 0.0023156020
131, 7, 0.0017499270
106, 7, 0.0014270260
81, 7, 0.0011219810
56, 7, 0.0007900260
31, 7, 0.0003683710
256, 6, 0.0036891030
231, 6, 0.0031926760
206, 6, 0.0031140330
181, 6, 0.0023577220
156, 6, 0.0024739570
131, 6, 0.0017785480
106, 6, 0.0014119400
81, 6, 0.0011296140
56, 6, 0.0007196180
31, 6, 0.0004138820
256, 5, 0.0037395160
231, 5, 0.0032212360
206, 5, 0.0030093240
181, 5, 0.0025460600
156, 5, 0.0024058750
131, 5, 0.0016997740
106, 5, 0.0013362350
81, 5, 0.0010845490
56, 5, 0.0006189170
31, 5, 0.0003738870
256, 4, 0.0052907570
231, 4, 0.0043793920
206, 4, 0.0036817260
181, 4, 0.0032920990
156, 4, 0.0027751550
131, 4, 0.0018580350
106, 4, 0.0016029030
81, 4, 0.0009333920
56, 4, 0.0006946150
31, 4, 0.0003828550
256, 3, 0.0062563020
231, 3, 0.0061103680
206, 3, 0.0042870400
181, 3, 0.0045400420
156, 3, 0.0033509430
131, 3, 0.0026943370
106, 3, 0.0016772810
81, 3, 0.0013131750
56, 3, 0.0006489100
31, 3, 0.0003469250
256, 2, 0.0115478390
231, 2, 0.0112881740
206, 2, 0.0080290340
181, 2, 0.0071432830
156, 2, 0.0048521730
131, 2, 0.0040748030
106, 2, 0.0022534640
81, 2, 0.0014558550
56, 2, 0.0009373350
31, 2, 0.0004014970
256, 1, 0.0226509480
231, 1, 0.0180385540
206, 1, 0.0146595690
181, 1, 0.0112847750
156, 1, 0.0088138900
131, 1, 0.0063233530
106, 1, 0.0042585290
81, 1, 0.0025381500
56, 1, 0.0013513190
31, 1, 0.0005342200
65536, 16, 1.7713686860
58983, 16, 1.6077000900
52430, 16, 1.4053231730
45877, 16, 1.1993124240
39324, 16, 1.0854884840
32771, 16, 0.7502686020
26218, 16, 0.7101916740
19665, 16, 0.4392816610
13112, 16, 0.3163621690
6559, 16, 0.1500147030
65536, 15, 1.7504439990
58983, 15, 1.5009710050
52430, 15, 1.3387932500
45877, 15, 1.1978243600
39324, 15, 0.9884539190
32771, 15, 0.8754696170
26218, 15, 0.6059464690
19665, 15, 0.5033958710
13112, 15, 0.3121502640
6559, 15, 0.1435044160
65536, 14, 1.7150895740
58983, 14, 1.6477657980
52430, 14, 1.3567382340
45877, 14, 1.1802485500
39324, 14, 0.9907332810
32771, 14, 0.7951403790
26218, 14, 0.6231177960
19665, 14, 0.4278732810
13112, 14, 0.2870300660
6559, 14, 0.1365390740
65536, 13, 1.7095782070
58983, 13, 1.6875958080
52430, 13, 1.4313760290
45877, 13, 1.2141167470
39324, 13, 1.0581137470
32771, 13, 0.8195466670
26218, 13, 0.6201850870
19665, 13, 0.4523140670
13112, 13, 0.2886516410
6559, 13, 0.1418771970
65536, 12, 2.2987528270
58983, 12, 2.0685920670
52430, 12, 1.5006766590
45877, 12, 1.3416602700
39324, 12, 1.0367364990
32771, 12, 0.8009805440
26218, 12, 0.6730501040
19665, 12, 0.4890437860
13112, 12, 0.2897748430
6559, 12, 0.1414633990
65536, 11, 2.6611831570
58983, 11, 2.2309450960
52430, 11, 1.9053042910
45877, 11, 1.5013782830
39324, 11, 1.3077590630
32771, 11, 0.9442172190
26218, 11, 0.8066780170
19665, 11, 0.4925150110
13112, 11, 0.3484962480
6559, 11, 0.1450568020
65536, 10, 3.7729216530
58983, 10, 3.3413910790
52430, 10, 2.7763827780
45877, 10, 2.0245291860
39324, 10, 1.7100324450
32771, 10, 1.2295848660
26218, 10, 0.8917790360
19665, 10, 0.5235727690
13112, 10, 0.3085445040
6559, 10, 0.1279251440
65536, 9, 6.7129517840
58983, 9, 5.6462978100
52430, 9, 4.6542628250
45877, 9, 3.3520906620
39324, 9, 2.7222438940
32771, 9, 1.8466732220
26218, 9, 1.2776101960
19665, 9, 0.7565996530
13112, 9, 0.4030678290
6559, 9, 0.1696165040
65536, 8, 11.2487350910
58983, 8, 9.8808102280
52430, 8, 7.8674837330
45877, 8, 5.8821255600
39324, 8, 4.6091123720
32771, 8, 3.3151979260
26218, 8, 2.0308947030
19665, 8, 1.4443095690
13112, 8, 0.6253476990
6559, 8, 0.1685009400
